TransactionID,Device,Site,StationName,Start,End,Account,Total_Energy (kWh),Duration,Meter Start (kWh),Meter End (kWh)
42307,559,UK-HBN-EB39A,Westland Road,25/07/2020 06:52,25/07/2020 07:07,Leeds Fleet Account,0.851,00:14:43,0,0.851
42308,559,UK-HBN-EB39A,Westland Road,25/07/2020 07:07,27/07/2020 06:50,Leeds Fleet Account,0,47:42:45,0,0
42311,575,UK-HBN-EB99B,Knowsthorpe HQ,25/07/2020 08:00,25/07/2020 09:41,Leeds Fleet Account,11.964,01:40:48,0,11.964
42322,575,UK-HBN-EB99B,Knowsthorpe HQ,25/07/2020 13:34,26/07/2020 09:52,Leeds Fleet Account,11.76,20:17:18,0,11.76
42346,575,UK-HBN-EB99B,Knowsthorpe HQ,26/07/2020 12:55,27/07/2020 09:24,Leeds Fleet Account,12.312,20:28:24,0,12.312
42347,575,UK-HBN-EB99B,Knowsthorpe HQ,26/07/2020 13:17,27/07/2020 09:55,Leeds Fleet Account,16.284,20:38:17,0,16.284
42353,560,UK-HBN-EB39B,Westland Road,27/07/2020 06:19,27/07/2020 07:18,Leeds Fleet Account,6.302,00:58:49,0,6.302
42362,560,UK-HBN-EB39B,Westland Road,27/07/2020 07:19,27/07/2020 07:59,Leeds Fleet Account,1.41,00:39:55,0,1.41
42366,616,UK-HBN-EB35,Discovery Centre,27/07/2020 07:40,30/07/2020 06:36,Leeds Fleet Account,0.29,70:55:32,0,0.29
42375,604,UK-HBN-EB143,Henshaw 3,27/07/2020 10:52,27/07/2020 14:25,Leeds Fleet Account,6.954,03:33:34,0,6.954
42380,577,UK-HBN-EB100A,Knowsthorpe HQ,27/07/2020 12:16,28/07/2020 09:25,Leeds Fleet Account,27.969,21:09:42,0,27.969
42382,559,UK-HBN-EB39A,Westland Road,27/07/2020 12:32,28/07/2020 08:23,Leeds Fleet Account,5.016,19:51:21,0,5.016
42383,577,UK-HBN-EB100A,Knowsthorpe HQ,27/07/2020 12:37,28/07/2020 09:37,Leeds Fleet Account,9.813,20:59:51,0,9.813
42391,560,UK-HBN-EB39B,Westland Road,27/07/2020 14:20,28/07/2020 06:51,Leeds Fleet Account,19.29,16:31:17,0,19.29
42394,553,UK-HBN-EB37B,Farnley Hall,28/07/2020 05:43,28/07/2020 12:15,Leeds Fleet Account,19.829,06:32:09,0,19.829
42399,575,UK-HBN-EB99B,Knowsthorpe HQ,28/07/2020 06:47,28/07/2020 09:44,Leeds Fleet Account,19.56,02:57:01,0,19.56
42403,562,UK-HBN-EB59,Print Unit Limewood Approach,28/07/2020 07:04,28/07/2020 15:26,Leeds Fleet Account,15.864,08:21:50,0,15.864
42411,604,UK-HBN-EB143,Henshaw 3,28/07/2020 09:16,29/07/2020 09:32,Leeds Fleet Account,7.602,24:15:51,0,7.602
42419,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:13,28/07/2020 16:28,Leeds Fleet Account,6.932,04:14:23,0,6.932
42420,577,UK-HBN-EB100A,Knowsthorpe HQ,28/07/2020 12:32,29/07/2020 08:51,Leeds Fleet Account,19.724,20:18:55,0,19.724
42422,575,UK-HBN-EB99B,Knowsthorpe HQ,28/07/2020 12:38,29/07/2020 09:58,Leeds Fleet Account,20.468,21:20:20,0,20.468
42421,577,UK-HBN-EB100A,Knowsthorpe HQ,28/07/2020 12:38,29/07/2020 09:33,Leeds Fleet Account,10.383,20:55:43,0,10.383
42424,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:44,28/07/2020 16:28,Leeds Fleet Account,14.518,03:43:46,0,14.518
42423,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:44,28/07/2020 12:44,Leeds Fleet Account,0,00:00:17,0,0
42431,560,UK-HBN-EB39B,Westland Road,28/07/2020 14:18,29/07/2020 07:07,Leeds Fleet Account,17.301,16:48:33,0,17.301
42432,559,UK-HBN-EB39A,Westland Road,28/07/2020 14:28,30/07/2020 09:00,Leeds Fleet Account,7.685,42:32:03,0,7.685
42455,553,UK-HBN-EB37B,Farnley Hall,29/07/2020 06:23,04/08/2020 07:02,Leeds Fleet Account,28.475,144:39:10,0,28.475
42456,562,UK-HBN-EB59,Print Unit Limewood Approach,29/07/2020 06:48,29/07/2020 15:13,Leeds Fleet Account,15.641,08:25:28,0,15.641
42457,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 06:50,29/07/2020 09:08,Leeds Fleet Account,8.151,02:18:23,0,8.151
42472,604,UK-HBN-EB143,Henshaw 3,29/07/2020 09:33,29/07/2020 13:48,Leeds Fleet Account,8.906,04:15:21,0,8.906
42480,577,UK-HBN-EB100A,Knowsthorpe HQ,29/07/2020 12:22,30/07/2020 07:10,Leeds Fleet Account,9.976,18:48:31,0,9.976
42481,577,UK-HBN-EB100A,Knowsthorpe HQ,29/07/2020 12:39,30/07/2020 08:47,Leeds Fleet Account,13.184,20:08:53,0,13.184
42482,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 12:42,30/07/2020 09:15,Leeds Fleet Account,18.004,20:33:45,0,18.004
42483,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 12:44,29/07/2020 16:34,Leeds Fleet Account,14.786,03:49:59,0,14.786
42485,575,UK-HBN-EB99B,Knowsthorpe HQ,29/07/2020 12:50,30/07/2020 08:46,Leeds Fleet Account,23.649,19:56:14,0,23.649
42494,575,UK-HBN-EB99B,Knowsthorpe HQ,29/07/2020 13:26,30/07/2020 09:43,Leeds Fleet Account,21.52,20:16:16,0,21.52
42502,560,UK-HBN-EB39B,Westland Road,29/07/2020 14:24,30/07/2020 06:52,Leeds Fleet Account,16.227,16:27:48,0,16.227
42524,562,UK-HBN-EB59,Print Unit Limewood Approach,30/07/2020 06:56,30/07/2020 15:34,Leeds Fleet Account,14.664,08:37:37,0,14.664
42525,578,UK-HBN-EB100B,Knowsthorpe HQ,30/07/2020 06:59,30/07/2020 09:54,Leeds Fleet Account,15.922,02:55:03,0,15.922
42530,616,UK-HBN-EB35,Discovery Centre,30/07/2020 07:57,31/07/2020 06:36,Leeds Fleet Account,1.019,22:39:11,0,1.019
42532,601,UK-HBN-EB141A,Henshaw 1,30/07/2020 08:27,30/07/2020 14:34,Leeds Fleet Account,8.07,06:06:55,0,8.07
